add_c;0x81;4;1
add_d;0x82;4;1
add_e;0x83;4;1
add_h;0x84;4;1
add_l;0x85;4;1
add_m;0x86;7;1
add_a;0x87;4;1
adc_b;0x88;4;1
adc_c;0x89;4;1
adc_d;0x8a;4;1
adc_e;0x8b;4;1
adc_h;0x8c;4;1
adc_l;0x8d;4;1
adc_m;0x8e;7;1
adc_a;0x8f;4;1
sub_b;0x90;4;1
sub_c;0x91;4;1
sub_d;0x92;4;1
sub_e;0x93;4;1
sub_h;0x94;4;1
sub_l;0x95;4;1
sub_m;0x96;7;1
sub_a;0x97;4;1
sbb_b;0x98;4;1
sbb_c;0x99;4;1
sbb_d;0x9a;4;1
sbb_e;0x9b;4;1
sbb_h;0x9c;4;1
sbb_l;0x9d;4;1
sbb_m;0x9e;7;1
sbb_a;0x9f;4;1
ana_b;0xa0;4;1
ana_c;0xa1;4;1
ana_d;0xa2;4;1
ana_e;0xa3;4;1
ana_h;0xa4;4;1
ana_l;0xa5;4;1
ana_m;0xa6;7;1
ana_a;0xa7;4;1
xra_b;0xa8;4;1
xra_c;0xa9;4;1
xra_d;0xaa;4;1
xra_e;0xab;4;1
xra_h;0xac;4;1
xra_l;0xad;4;1
xra_m;0xae;7;1
xra_a;0xaf;4;1
ora_b;0xb0;4;1
ora_c;0xb1;4;1
ora_d;0xb2;4;1
ora_e;0xb3;4;1
ora_h;0xb4;4;1
ora_l;0xb5;4;1
ora_m;0xb6;7;1
ora_a;0xb7;4;1
cmp_b;0xb8;4;1
cmp_c;0xb9;4;1
cmp_d;0xba;4;1
cmp_e;0xbb;4;1
cmp_h;0xbc;4;1
cmp_l;0xbd;4;1
cmp_m;0xbe;7;1
cmp_a;0xbf;4;1
rnz;0xc0;11;1
pop_b;0xc1;10;1
jnz_adr;0xc2;10;3
jmp_adr;0xc3;10;3
cnz_adr;0xc4;17;3
push_b;0xc5;11;1
adi_d8;0xc6;7;2
rst_0;0xc7;11;1
rz;0xc8;11;1
ret;0xc9;10;1
jz_adr;0xca;10;3
nop_0xcb;0xcb;10;
cz_adr;0xcc;10;3
call_adr;0xcd;17;3
aci_d8;0xce;7;2
rst_1;0xcf;11;1
rnc;0xd0;11;1
pop_d;0xd1;10;1
jnc_adr;0xd2;10;3
out_d8;0xd3;10;2
cnc_adr;0xd4;17;3
push_d;0xd5;11;1
sui_d8;0xd6;7;2
rst_2;0xd7;11;1
rc;0xd8;11;1
nop_0xd9;0xd9;10;
jc_adr;0xda;10;3
in_d8;0xdb;10;2
cc_adr;0xdc;10;3
nop_0xdd;0xdd;17;
sbi_d8;0xde;7;2
rst_3;0xdf;11;1
rpo;0xe0;11;1
pop_h;0xe1;10;1
jpo_adr;0xe2;10;3
xthl;0xe3;18;1
cpo_adr;0xe4;17;3
push_h;0xe5;11;1
ani_d8;0xe6;7;2
rst_4;0xe7;11;1
rpe;0xe8;11;1
pchl;0xe9;5;1
jpe_adr;0xea;10;3
xchg;0xeb;5;1
cpe_adr;0xec;17;3
nop_0xed;0xed;17;
xri_d8;0xee;7;2
rst_5;0xef;11;1
rp;0xf0;11;1
pop_psw;0xf1;10;1
jp_adr;0xf2;10;3
di;0xf3;4;1
cp_adr;0xf4;17;3
push_psw;0xf5;11;1
ori_d8;0xf6;7;2
rst_6;0xf7;11;1
rm;0xf8;11;1
sphl;0xf9;5;1
jm_adr;0xfa;10;3
ei;0xfb;4;1
cm_adr;0xfc;17;3
nop_0xfd;0xfd;17;
cpi_d8;0xfe;7;2
rst_7;0xff;11;1
